x,y
10,20612.9
10.01,20144.9
10.02,20699.6
10.03,21445.1
10.04,21445.1
10.05,21202.4
10.06,22294.6
10.07,21965.2
10.08,20508.9
10.09,20508.9
10.1,21566.4
10.11,20110.2
10.12,21531.8
10.13,21635.8
10.14,20075.5
10.15,21029
10.16,20821
10.17,21774.5
10.18,21497.1
10.19,20491.6
10.2,20526.3
10.21,20942.3
10.22,20647.6
10.23,21133
10.24,21271.7
10.25,20058.2
10.26,20543.6
10.27,22433.3
10.28,22606.6
10.29,21653.1
10.3,21861.2
10.31,21410.4
10.32,21445.1
10.33,21185
10.34,21323.7
10.35,22329.2
10.36,22641.3
10.37,21063.7
10.38,22346.6
10.39,22311.9
10.4,22017.2
10.41,22658.6
10.42,22832
10.43,22554.6
10.44,23560.1
10.45,22572
10.46,22884
10.47,23352.1
10.48,23473.4
10.49,23057.4
10.5,23404.1
10.51,22936
10.52,23906.9
10.53,25016.4
10.54,24513.6
10.55,24860.4
10.56,26542
10.57,25987.2
10.58,26247.3
10.59,26281.9
10.6,27044.7
10.61,27807.5
10.62,28518.3
10.63,28535.7
10.64,29749.2
10.65,30217.3
10.66,30304
10.67,31413.5
10.68,31586.9
10.69,33199.1
10.7,33095.1
10.71,33493.9
10.72,35140.8
10.73,36995.8
10.74,37013.2
10.75,38018.7
10.76,38244
10.77,38157.4
10.78,37654.6
10.79,39024.2
10.8,40116.4
10.81,41347.2
10.82,40723.1
10.83,42283.4
10.84,43843.7
10.85,43288.9
10.86,45057.2
10.87,42162.1
10.88,39197.5
10.89,34170
10.9,31222.8
10.91,27183.4
10.92,24444.3
10.93,23317.4
10.94,22242.6
10.95,21323.7
10.96,21185
10.97,21046.4
10.98,21653.1
10.99,20231.5
11,21063.7
11.01,20179.5
11.02,19780.8
11.03,21098.4
11.04,20786.3
11.05,20769
11.06,20873
11.07,20647.6
11.08,20404.9
11.09,20266.2
11.1,20214.2
11.11,20266.2
11.12,19642.1
11.13,20665
11.14,20404.9
11.15,20855.7
11.16,19538.1
11.17,20144.9
11.18,19347.4
11.19,20560.9
11.2,20162.2
11.21,20318.2
11.22,19936.8
11.23,20352.9
11.24,20231.5
11.25,21011.7
11.26,21687.8
11.27,21133
11.28,20248.9
11.29,19780.8
11.3,20786.3
11.31,19936.8
11.32,20318.2
11.33,20179.5
11.34,19624.8
11.35,19902.2
11.36,20179.5
11.37,20647.6
11.38,20821
11.39,20404.9
11.4,20006.2
11.41,20665
11.42,20023.5
11.43,19295.4
11.44,19746.1
11.45,20543.6
11.46,19954.2
11.47,19832.8
11.48,21531.8
11.49,20560.9
11.5,20717
11.51,20474.3
11.52,20196.9
11.53,19416.7
11.54,20387.6
11.55,20751.6
11.56,19988.8
11.57,19780.8
11.58,19312.7
11.59,19434.1
11.6,19850.1
11.61,20231.5
11.62,20456.9
11.63,19902.2
11.64,19278
11.65,19763.5
11.66,20595.6
11.67,19815.5
11.68,20023.5
11.69,19416.7
11.7,20179.5
11.71,20006.2
11.72,19538.1
11.73,19000.7
11.74,19902.2
11.75,19694.1
11.76,19780.8
11.77,19416.7
11.78,19052.7
11.79,18810
11.8,19936.8
11.81,20162.2
11.82,20248.9
11.83,19954.2
11.84,19260.7
11.85,18844.6
11.86,18255.2
11.87,20092.9
11.88,20058.2
11.89,19694.1
11.9,19590.1
11.91,19156.7
11.92,19780.8
11.93,20162.2
11.94,19399.4
11.95,20162.2
11.96,18931.3
11.97,20855.7
11.98,19988.8
11.99,19191.4
12,19486.1
12.01,19555.4
12.02,20456.9
12.03,20266.2
12.04,19260.7
12.05,19226
12.06,19278
12.07,18480.6
12.08,19226
12.09,19832.8
12.1,19000.7
12.11,19468.7
12.12,19243.4
12.13,19208.7
12.14,19486.1
12.15,18983.3
12.16,19711.5
12.17,20144.9
12.18,19728.8
12.19,20456.9
12.2,18758
12.21,19607.4
12.22,19451.4
12.23,19052.7
12.24,18671.3
12.25,18549.9
12.26,19902.2
12.27,19295.4
12.28,19243.4
12.29,19191.4
12.3,18862
12.31,20335.6
12.32,19902.2
12.33,20162.2
