x,y
10,27460.8
10.01,27304.8
10.02,26854
10.03,26507.3
10.04,27287.4
10.05,27322.1
10.06,26871.4
10.07,27408.8
10.08,27478.1
10.09,27408.8
10.1,25883.2
10.11,26056.6
10.12,25900.5
10.13,27079.4
10.14,27148.8
10.15,27235.4
10.16,27391.5
10.17,28362.3
10.18,27720.9
10.19,26958.1
10.2,26611.3
10.21,27651.5
10.22,27582.2
10.23,27668.8
10.24,28327.6
10.25,27200.8
10.26,27148.8
10.27,26715.3
10.28,26975.4
10.29,28084.9
10.3,27079.4
10.31,26438
10.32,27148.8
10.33,27634.2
10.34,27356.8
10.35,27322.1
10.36,27287.4
10.37,26646
10.38,27235.4
10.39,27356.8
10.4,27894.2
10.41,26698
10.42,27079.4
10.43,26854
10.44,28327.6
10.45,28431.6
10.46,26836.7
10.47,27564.8
10.48,27322.1
10.49,26784.7
10.5,27391.5
10.51,26819.4
10.52,27946.2
10.53,27547.5
10.54,27530.2
10.55,28379.6
10.56,26975.4
10.57,27790.2
10.58,28206.3
10.59,27270.1
10.6,28969.1
10.61,27703.5
10.62,28414.3
10.63,26767.4
10.64,27859.5
10.65,27616.8
10.66,28362.3
10.67,28726.4
10.68,28847.7
10.69,27824.9
10.7,28102.3
10.71,27703.5
10.72,28050.2
10.73,27980.9
10.74,27616.8
10.75,28379.6
10.76,28882.4
10.77,29627.9
10.78,28136.9
10.79,29419.8
10.8,30165.3
10.81,28847.7
10.82,27564.8
10.83,28275.6
10.84,27426.1
10.85,27010.1
10.86,28275.6
10.87,28743.7
10.88,28535.7
10.89,28275.6
10.9,28067.6
10.91,28639.7
10.92,27200.8
10.93,28067.6
10.94,29159.8
10.95,28466.3
10.96,27807.5
10.97,27651.5
10.98,26854
10.99,28310.3
11,28622.3
11.01,28102.3
11.02,28449
11.03,27651.5
11.04,28379.6
11.05,28171.6
11.06,27616.8
11.07,27686.2
11.08,28136.9
11.09,28639.7
11.1,29090.4
11.11,29090.4
11.12,27339.5
11.13,28726.4
11.14,28431.6
11.15,27582.2
11.16,27460.8
11.17,28830.4
11.18,27391.5
11.19,28379.6
11.2,29038.4
11.21,28136.9
11.22,28466.3
11.23,27980.9
11.24,29090.4
11.25,28726.4
11.26,27842.2
11.27,27460.8
11.28,27530.2
11.29,29194.4
11.3,27963.6
11.31,27096.7
11.32,28379.6
11.33,27824.9
11.34,27252.8
11.35,27547.5
11.36,27426.1
11.37,28171.6
11.38,27218.1
11.39,27478.1
11.4,26403.3
11.41,27755.5
11.42,28102.3
11.43,27668.8
11.44,27131.4
11.45,28206.3
11.46,27772.9
11.47,28362.3
11.48,27894.2
11.49,28691.7
11.5,26732.7
11.51,28969.1
11.52,27686.2
11.53,27790.2
11.54,28067.6
11.55,27010.1
11.56,27062.1
11.57,27582.2
11.58,27235.4
11.59,28154.3
11.6,27512.8
11.61,27998.2
11.62,28154.3
11.63,27495.5
11.64,26888.7
11.65,27235.4
11.66,27772.9
11.67,27166.1
11.68,27131.4
11.69,27998.2
11.7,28483.7
11.71,27772.9
11.72,27842.2
11.73,29281.1
11.74,28726.4
11.75,27668.8
11.76,28015.6
11.77,27738.2
11.78,27686.2
11.79,28431.6
11.8,27287.4
11.81,28449
11.82,29263.8
11.83,27356.8
11.84,28674.4
11.85,28084.9
11.86,28743.7
11.87,26715.3
11.88,28882.4
11.89,27564.8
11.9,29835.9
11.91,27374.1
11.92,27980.9
11.93,28951.7
11.94,28240.9
11.95,28882.4
11.96,28639.7
11.97,30685.4
11.98,27911.6
11.99,27946.2
12,28154.3
12.01,28691.7
12.02,28345
12.03,27928.9
12.04,28639.7
12.05,27755.5
12.06,27911.6
12.07,28154.3
12.08,28223.6
12.09,28223.6
12.1,28449
12.11,29870.6
12.12,28743.7
12.13,28188.9
12.14,29350.5
12.15,28015.6
12.16,28431.6
12.17,27287.4
12.18,28795.7
12.19,28501
12.2,28553
12.21,29471.8
12.22,28639.7
12.23,28449
12.24,28310.3
12.25,27772.9
12.26,28622.3
12.27,27096.7
12.28,28813
12.29,28917.1
12.3,28240.9
12.31,27894.2
12.32,27928.9
12.33,28223.6
12.34,28379.6
12.35,28934.4
12.36,28223.6
12.37,28154.3
12.38,29107.8
12.39,28240.9
12.4,26854
12.41,28449
12.42,29419.8
12.43,28119.6
12.44,28379.6
12.45,27928.9
12.46,28362.3
12.47,28917.1
12.48,27928.9
12.49,28986.4
12.5,27720.9
12.51,28084.9
12.52,29211.8
12.53,28188.9
12.54,28865.1
12.55,29835.9
12.56,28206.3
12.57,27270.1
12.58,28761
12.59,28622.3
12.6,29073.1
12.61,29107.8
12.62,28032.9
12.63,28691.7
12.64,28761
12.65,28570.3
12.66,28795.7
12.67,29523.8
12.68,30373.3
12.69,28345
12.7,29350.5
12.71,29333.1
12.72,28466.3
12.73,28778.4
12.74,27928.9
12.75,29783.9
12.76,28691.7
12.77,28518.3
12.78,28986.4
12.79,28691.7
12.8,28102.3
12.81,29853.2
12.82,28934.4
12.83,29749.2
12.84,29523.8
12.85,28102.3
12.86,28934.4
12.87,29402.5
12.88,29298.5
12.89,29523.8
12.9,28119.6
12.91,29523.8
12.92,29853.2
12.93,28830.4
12.94,29870.6
12.95,29645.2
12.96,29558.5
12.97,29281.1
12.98,29385.1
12.99,29575.8
13,29246.5
13.01,27859.5
13.02,29107.8
13.03,28726.4
13.04,29281.1
13.05,29350.5
13.06,28501
13.07,28501
13.08,28379.6
13.09,28397
13.1,30252
13.11,28622.3
13.12,29125.1
13.13,29766.5
13.14,28934.4
13.15,29437.2
13.16,28986.4
13.17,30685.4
13.18,29021.1
13.19,29281.1
13.2,29333.1
13.21,29229.1
13.22,29575.8
13.23,29749.2
13.24,29159.8
