x,y
10,27044.7
10.01,27755.5
10.02,28431.6
10.03,29627.9
10.04,27703.5
10.05,27998.2
10.06,28587.7
10.07,27218.1
10.08,28761
10.09,28483.7
10.1,28449
10.11,27495.5
10.12,28275.6
10.13,28015.6
10.14,28553
10.15,29315.8
10.16,27911.6
10.17,27547.5
10.18,28570.3
10.19,28050.2
10.2,28709
10.21,27911.6
10.22,28223.6
10.23,27495.5
10.24,28986.4
10.25,29385.1
10.26,27876.9
10.27,28709
10.28,28795.7
10.29,29263.8
10.3,29194.4
10.31,28171.6
10.32,27478.1
10.33,28639.7
10.34,29454.5
10.35,28206.3
10.36,28674.4
10.37,28934.4
10.38,29003.7
10.39,27807.5
10.4,28847.7
10.41,28362.3
10.42,28327.6
10.43,28414.3
10.44,28553
10.45,27911.6
10.46,28414.3
10.47,28847.7
10.48,28397
10.49,27651.5
10.5,27062.1
10.51,28761
10.52,29073.1
10.53,28570.3
10.54,29766.5
10.55,28345
10.56,29281.1
10.57,29055.8
10.58,27772.9
10.59,27998.2
10.6,27842.2
10.61,29939.9
10.62,29922.6
10.63,28813
10.64,29610.5
10.65,27946.2
10.66,29385.1
10.67,29211.8
10.68,29246.5
10.69,29211.8
10.7,29697.2
10.71,28605
10.72,29090.4
10.73,28743.7
10.74,28743.7
10.75,29887.9
10.76,29662.5
10.77,29853.2
10.78,29922.6
10.79,30841.4
10.8,30720
10.81,29801.2
10.82,29662.5
10.83,30338.6
10.84,29835.9
10.85,30408
10.86,29870.6
10.87,30390.7
10.88,30390.7
10.89,30217.3
10.9,29697.2
10.91,29853.2
10.92,30061.3
10.93,30356
10.94,28397
10.95,29887.9
10.96,29298.5
10.97,29905.2
10.98,29679.9
10.99,29229.1
11,29593.2
11.01,29645.2
11.02,28934.4
11.03,29090.4
11.04,28084.9
11.05,28830.4
11.06,29489.2
11.07,29697.2
11.08,27564.8
11.09,28813
11.1,29125.1
11.11,28553
11.12,28431.6
11.13,28293
11.14,28917.1
11.15,29749.2
11.16,30200
11.17,29471.8
11.18,28345
11.19,28327.6
11.2,29090.4
11.21,28882.4
11.22,28067.6
11.23,29402.5
11.24,28518.3
11.25,28605
11.26,29073.1
11.27,29662.5
11.28,29177.1
11.29,30026.6
11.3,28969.1
11.31,30650.7
11.32,30304
11.33,30598.7
11.34,30633.4
